MethStat	context	C	CG	CHG	CHH	CA	CC	CT	CH	CW
mean_mC_byChr	Cluster_5088_0	0.0069	0.0089	0.0138	0.0051	0.0096	0.0024	0.0067	0.0064	0.0078
mean_mC_byChr	Cluster_508_0	0.0333	NaN	NaN	0.0333	0.0667	NaN	0.0000	0.0333	0.0333
mean_mC_byChr	Cluster_5090_0	0.0034	0.0000	0.0151	0.0018	0.0040	0.0035	0.0033	0.0035	0.0035
mean_mC_byChr	Cluster_5090_1	0.0089	0.0000	0.0111	0.0092	0.0051	0.0114	0.0111	0.0093	0.0081
mean_mC_byChr	Cluster_5091_0	0.0214	0.0667	0.0238	0.0204	0.0131	0.0383	0.0178	0.0206	0.0159
mean_mC_byChr	Cluster_5092_0	0.0053	0.0000	0.0000	0.0059	0.0072	0.0045	0.0035	0.0055	0.0057
mean_mC_byChr	Cluster_5093_0	0.0000	0.0000	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5093_2	0.0026	0.0076	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5093_3	0.0116	0.0333	0.0200	0.0053	0.0000	0.0000	0.0174	0.0087	0.0106
mean_mC_byChr	Cluster_5094_0	0.0147	0.0000	0.0385	0.0140	0.0294	0.0278	0.0046	0.0159	0.0143
mean_mC_byChr	Cluster_5095_0	0.0049	0.0061	0.0000	0.0054	0.0054	0.0068	0.0033	0.0048	0.0038
mean_mC_byChr	Cluster_5096_0	0.0296	0.0145	0.0000	0.0321	0.0400	0.0353	0.0216	0.0307	0.0295
mean_mC_byChr	Cluster_5097_0	0.0000	0.0000	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5097_1	0.0364	NaN	NaN	0.0364	0.0833	0.0400	0.0256	0.0364	0.0339
mean_mC_byChr	Cluster_5098_0	0.0049	0.0133	0.0000	0.0027	0.0000	0.0000	0.0056	0.0021	0.0036
mean_mC_byChr	Cluster_5099_0	0.0056	NaN	0.0000	0.0058	0.0000	NaN	0.0121	0.0056	0.0056
mean_mC_byChr	Cluster_5099_1	0.0638	0.2879	0.0245	0.0077	0.0058	0.0139	0.0130	0.0096	0.0091
mean_mC_byChr	Cluster_509_0	0.0177	0.2778	0.0166	0.0086	0.0036	0.0157	0.0154	0.0096	0.0079
mean_mC_byChr	Cluster_5100_0	0.0048	0.0000	0.0000	0.0069	0.0000	0.0000	0.0082	0.0063	0.0071
mean_mC_byChr	Cluster_5101_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5102_0	0.0085	0.0181	0.0049	0.0077	0.0024	0.0163	0.0086	0.0072	0.0056
mean_mC_byChr	Cluster_5102_1	0.0099	0.0421	0.0000	0.0077	0.0096	0.0093	0.0030	0.0070	0.0066
mean_mC_byChr	Cluster_5103_0	0.0105	0.0000	0.0690	0.0082	0.0359	0.0036	0.0069	0.0110	0.0152
mean_mC_byChr	Cluster_5103_1	0.0000	NaN	NaN	0.0000	0.0000	NaN	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5105_0	0.0057	0.0037	0.0139	0.0051	0.0104	0.0038	0.0029	0.0064	0.0068
mean_mC_byChr	Cluster_5106_2	0.0000	NaN	NaN	0.0000	0.0000	NaN	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5107_0	0.0087	0.0000	0.0333	0.0053	0.0000	0.0125	0.0083	0.0091	0.0071
mean_mC_byChr	Cluster_5108_0	0.0040	0.0000	0.0000	0.0050	0.0125	0.0000	0.0000	0.0043	0.0063
mean_mC_byChr	Cluster_5109_0	0.0000	0.0000	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_510_0	0.0033	0.0000	0.0000	0.0046	0.0139	0.0000	0.0000	0.0042	0.0046
mean_mC_byChr	Cluster_5110_0	0.0108	0.0351	0.0278	0.0050	0.0027	0.0079	0.0087	0.0062	0.0055
mean_mC_byChr	Cluster_5111_0	0.0000	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5112_0	0.0098	0.0124	0.0057	0.0098	0.0048	0.0032	0.0152	0.0089	0.0112
mean_mC_byChr	Cluster_5113_0	0.0077	0.0031	0.0000	0.0101	0.0110	0.0100	0.0075	0.0091	0.0088
mean_mC_byChr	Cluster_5114_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5115_0	0.0076	0.0000	0.0167	0.0062	0.0167	0.0000	0.0099	0.0085	0.0121
mean_mC_byChr	Cluster_5116_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5117_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5118_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5119_0	0.0089	0.0000	0.0000	0.0112	0.0085	0.0000	0.0226	0.0099	0.0152
mean_mC_byChr	Cluster_5120_0	0.0056	0.0833	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
